YEAR,RACEID,DRIVERID,AVG(MILLISECONDS)
2011,849,17,102656.596154
2011,841,30,101762.473684
2011,842,1,105531.946429
2011,841,5,98761.000000
2011,841,18,93526.948276
2011,859,155,79536.785714
2011,858,153,108998.851852
2011,859,10,82941.095238
2011,859,24,82575.065574
2011,859,816,82157.602941
2011,859,815,79937.557143
2011,859,3,79329.085714
2011,858,817,111759.729167
2011,852,813,120057.000000
2011,857,813,95319.083333
2011,857,811,92971.152542
2011,856,811,109045.314815
2011,856,17,107172.200000
2011,855,3,103731.113208
2011,855,153,104151.886792
2011,855,155,104096.830189
2011,855,808,103698.754717
2011,854,814,118980.721311
2011,851,813,95157.970588
2011,853,153,93363.288462
2011,852,5,121454.790698
2011,858,15,110828.377358
2011,851,24,99069.492308
2011,851,17,92172.557143
2011,851,1,92152.500000
2011,850,10,103013.947368
2011,850,813,100022.355932
2011,850,155,99573.576271
2011,849,3,103497.326923
2011,850,20,98304.250000
2011,850,4,97571.900000
2011,849,10,107369.160000
2011,849,67,109193.760000
2011,849,2,103783.423077
2011,845,155,92281.892308
2011,850,817,103652.350877
2011,850,24,103110.270270
2011,850,17,97668.700000
2011,849,817,109866.653061
2011,849,153,103852.000000
2011,849,813,104374.470588
2011,849,30,103829.000000
2011,849,18,104280.743590
2011,848,808,107340.071429
2011,848,17,105323.228070
2011,847,808,209999.028571
2011,847,3,210428.442857
2011,850,2,102287.444444
2011,844,18,94430.844828
2011,844,3,94225.810345
2011,843,155,105026.767857
2011,843,18,104075.464286
2011,842,15,109031.290323
2011,842,67,107158.563636
2011,842,155,105826.267857
2011,842,18,104698.089286
2011,841,815,93725.931034
2011,841,3,96448.909091
2011,841,1,92975.103448
2011,841,17,93248.793103
2011,853,816,170977.000000
2011,858,22,108286.074074
2011,858,18,106504.854545
2011,858,4,106188.054545
2011,857,153,92447.830508
2011,857,18,90723.916667
2011,856,10,110464.055556
2011,856,808,111456.062500
2011,855,1,103352.735849
2011,854,10,122798.222222
2011,854,16,119132.750000
2011,854,3,119126.383333
2011,853,22,94200.826923
2011,857,817,96208.824561
2011,852,4,118588.977273
2011,851,16,94995.014706
2011,851,814,93524.956522
2011,853,815,95219.812500
2011,852,16,119650.136364
2011,852,808,119927.500000
2011,852,1,118291.083333
2011,851,816,98767.323077
2011,851,815,95034.117647
2011,851,808,93963.666667
2011,841,20,92590.672414
2011,851,18,91461.957143
2011,855,816,107890.039216
2011,859,5,80818.739130
2011,859,814,79471.214286
2011,858,808,108357.407407
2011,858,155,108026.240741
2011,858,815,108272.925926
2011,857,10,122778.500000
2011,856,24,113736.403846
2011,857,20,90583.366667
2011,856,30,108065.333333
2011,856,1,107163.872727
2011,856,20,106945.345455
2011,853,10,96016.568627
2011,855,67,103598.000000
2011,855,814,104070.811321
2011,855,4,102916.735849
2011,854,22,119596.783333
2011,854,4,118068.950820
2011,853,67,93655.673077
2011,853,15,95651.745098
2011,853,30,92053.754717
2011,852,17,118378.045455
2011,850,153,99907.983051
2011,850,22,102101.812500
2011,850,3,99255.135593
2011,846,22,101417.337662
2011,844,153,95291.403509
2011,846,814,102576.973684
2011,847,4,320540.527778
2011,847,18,209707.671429
2011,847,5,379323.607143
2011,847,39,213923.159420
2011,848,815,107125.517857
2011,848,813,107951.928571
2011,849,13,102888.576923
2011,849,815,103592.038462
2011,850,18,99700.428571
2011,849,5,130091.000000
2011,851,155,93933.289855
2011,851,67,93538.463768
2011,851,2,101949.782609
2011,852,3,119399.250000
2011,852,30,119371.750000
2011,852,22,121455.674419
2011,852,10,122658.790698
2011,852,811,120406.318182
2011,853,17,123678.750000
2011,853,814,93438.865385
2011,844,815,95104.614035
2011,857,39,95650.298246
2011,858,814,107872.236364
2011,858,20,174331.000000
2011,859,22,79999.371429
2011,847,155,210182.957143
2011,846,813,101439.219178
2011,846,16,101232.597403
2011,845,39,97551.327869
2011,845,3,91885.692308
2011,845,30,91872.230769
2011,845,808,92479.230769
2011,857,5,93820.603448
2011,844,39,98667.963636
2011,844,1,94099.827586
2011,844,4,93579.879310
2011,843,22,105507.410714
2011,843,30,104450.928571
2011,843,4,104443.714286
2011,842,24,112339.847826
2011,842,816,109482.642857
2011,842,3,106650.363636
2011,841,2,95507.035088
2011,841,4,93138.465517
2011,854,155,121700.220339
2011,850,808,99578.983051
2011,850,16,98942.366667
